"Time","capability"
2026-01-22 10:15:07,0 rpm
2026-01-22 10:16:32,0 rpm
2026-01-22 10:17:58,0 rpm
2026-01-22 10:57:09,0 rpm
2026-01-22 10:57:41,867 rpm
2026-01-22 10:58:09,864 rpm
2026-01-22 10:58:38,849 rpm
2026-01-22 10:59:06,859 rpm
2026-01-22 10:59:35,2326 rpm
2026-01-22 11:00:03,990 rpm
2026-01-22 11:00:32,805 rpm
2026-01-22 11:01:00,801 rpm
2026-01-22 11:01:29,1394 rpm
2026-01-22 11:01:57,1719 rpm
2026-01-22 11:02:26,792 rpm
2026-01-22 11:02:54,794 rpm
2026-01-22 11:03:23,1601 rpm
2026-01-22 11:03:51,789 rpm
2026-01-22 11:04:20,787 rpm
2026-01-22 11:04:48,945 rpm
2026-01-22 11:05:17,1439 rpm
2026-01-22 11:05:45,1070 rpm
2026-01-22 11:06:14,778 rpm
2026-01-22 11:06:42,1196 rpm
2026-01-22 11:07:11,1179 rpm
2026-01-22 11:07:39,1967 rpm
2026-01-22 11:08:08,755 rpm
2026-01-22 11:08:36,1189 rpm
2026-01-22 11:10:30,808 rpm
2026-01-22 11:10:59,766 rpm
2026-01-22 11:11:28,3374 rpm
2026-01-22 11:11:56,1282 rpm
2026-01-22 11:12:24,2207 rpm
2026-01-22 11:12:53,1585 rpm
2026-01-22 11:13:22,1114 rpm
2026-01-22 11:13:50,1072 rpm
2026-01-22 11:14:19,985 rpm
2026-01-22 11:14:47,1123 rpm
2026-01-22 11:15:16,740 rpm
2026-01-22 11:15:44,747 rpm
2026-01-22 11:16:13,1160 rpm
2026-01-22 11:16:41,751 rpm
2026-01-22 11:18:07,1114 rpm
2026-01-22 11:18:35,1105 rpm
2026-01-22 11:19:04,1411 rpm
2026-01-22 11:19:32,1109 rpm
2026-01-22 11:20:01,994 rpm
2026-01-22 11:20:29,1227 rpm
2026-01-22 11:20:58,1447 rpm
2026-01-22 11:21:26,1137 rpm
2026-01-22 11:21:55,749 rpm
2026-01-22 11:23:20,1380 rpm
2026-01-22 11:23:49,747 rpm
2026-01-22 11:24:17,1884 rpm
2026-01-22 11:24:46,1555 rpm
2026-01-22 11:25:14,875 rpm
2026-01-22 11:25:43,713 rpm
2026-01-22 11:26:11,747 rpm
2026-01-22 11:26:40,753 rpm
2026-01-22 11:27:08,1278 rpm
2026-01-22 11:27:37,968 rpm
2026-01-22 11:28:05,1969 rpm
2026-01-22 11:28:34,1029 rpm
2026-01-22 11:29:03,806 rpm
2026-01-22 11:30:28,982 rpm
2026-01-22 11:30:57,1241 rpm
2026-01-22 11:31:25,1125 rpm
2026-01-22 11:31:53,1045 rpm
2026-01-22 11:32:22,967 rpm
2026-01-22 11:32:51,754 rpm
2026-01-22 11:33:19,826 rpm
2026-01-22 11:35:13,1223 rpm
2026-01-22 11:35:42,1022 rpm
2026-01-22 11:36:10,728 rpm
2026-01-22 11:36:39,1559 rpm
2026-01-22 11:37:07,747 rpm
2026-01-22 11:37:36,780 rpm
2026-01-22 11:38:04,747 rpm
2026-01-22 11:38:33,1436 rpm
2026-01-22 11:39:01,1576 rpm
2026-01-22 11:39:30,747 rpm
2026-01-22 11:39:58,2534 rpm
2026-01-22 11:40:27,1238 rpm
2026-01-22 11:40:55,1347 rpm
2026-01-22 11:41:24,750 rpm
2026-01-22 11:41:52,753 rpm
2026-01-22 11:42:21,1410 rpm
2026-01-22 11:42:49,1190 rpm
2026-01-22 11:43:18,1341 rpm
2026-01-22 11:43:46,747 rpm
2026-01-22 11:44:15,754 rpm
2026-01-22 11:44:43,1869 rpm
2026-01-22 11:45:12,751 rpm
2026-01-22 11:45:40,1565 rpm
2026-01-22 11:46:09,818 rpm
2026-01-22 11:46:37,856 rpm
2026-01-22 11:47:06,750 rpm
2026-01-22 11:47:34,744 rpm
2026-01-22 11:48:03,765 rpm
2026-01-22 11:49:37,0 rpm
2026-01-22 11:51:03,0 rpm
2026-01-22 11:52:28,0 rpm
2026-01-22 11:59:23,0 rpm
2026-01-22 12:00:07,753 rpm
2026-01-22 12:00:36,754 rpm
2026-01-22 12:01:04,750 rpm
2026-01-22 12:01:33,754 rpm
2026-01-22 12:02:01,755 rpm
2026-01-22 12:02:30,754 rpm
2026-01-22 12:02:58,755 rpm
2026-01-22 12:03:27,754 rpm
2026-01-22 12:03:55,750 rpm
2026-01-22 12:04:24,749 rpm
2026-01-22 12:04:52,751 rpm
2026-01-22 12:06:00,0 rpm
2026-01-22 12:06:28,0 rpm
2026-01-22 12:06:57,0 rpm
2026-01-22 12:07:25,0 rpm
2026-01-22 12:07:54,0 rpm
2026-01-22 12:08:22,0 rpm
2026-01-22 12:08:51,0 rpm
2026-01-22 12:09:19,0 rpm
2026-01-22 12:11:02,0 rpm
2026-01-22 12:12:28,0 rpm
2026-01-22 12:13:53,0 rpm
2026-01-22 12:57:57,776 rpm
2026-01-22 12:58:25,746 rpm
2026-01-22 12:58:54,1736 rpm
2026-01-22 12:59:23,725 rpm
2026-01-22 12:59:51,769 rpm

